2021-03-24 13:54:41,019 [main] INFO  c.l.a.activiti.ActivitiApplication 655 - The following profiles are active: dev
2021-03-24 13:54:42,648 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-03-24 13:54:42,681 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 18ms. Found 0 JPA repository interfaces.
2021-03-24 13:54:43,095 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - No MyBatis mapper was found in '[com.lt.activit.activiti.dao]' package. Please check your configuration.
2021-03-24 13:54:43,261 [main] INFO  o.s.cloud.context.scope.GenericScope 295 - BeanFactory id=663b445e-8d12-3dee-8115-ad052df58399
2021-03-24 13:54:43,996 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 92 - Tomcat initialized with port(s): 9501 (http)
2021-03-24 13:54:44,013 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-9501"]
2021-03-24 13:54:44,014 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2021-03-24 13:54:44,015 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.33]
2021-03-24 13:54:44,244 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2021-03-24 13:54:44,245 [main] INFO  o.s.web.context.ContextLoader 284 - Root WebApplicationContext: initialization completed in 3195 ms
2021-03-24 13:54:44,324 [main] INFO  o.s.b.web.servlet.RegistrationBean 110 - Servlet statViewServlet was not registered (possibly already registered?)
2021-03-24 13:54:44,329 [main] INFO  o.s.b.web.servlet.RegistrationBean 110 - Filter webStatFilter was not registered (possibly already registered?)
2021-03-24 13:54:44,424 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure 56 - Init DruidDataSource
2021-03-24 13:54:47,233 [main] INFO  c.alibaba.druid.pool.DruidDataSource 947 - {dataSource-1} inited
2021-03-24 13:54:47,526 [main] INFO  o.h.jpa.internal.util.LogHelper 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-03-24 13:54:47,736 [main] INFO  org.hibernate.Version 44 - HHH000412: Hibernate ORM core version 5.4.12.Final
2021-03-24 13:54:48,152 [main] INFO  o.h.annotations.common.Version 49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-03-24 13:54:48,467 [main] INFO  org.hibernate.dialect.Dialect 172 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2021-03-24 13:54:48,892 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator 52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-03-24 13:54:48,916 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean 416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-03-24 13:54:49,030 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-24 13:54:50,918 [main] INFO  o.a.e.c.DefaultActiviti5CompatibilityHandlerFactory 38 - Activiti 5 compatibility handler implementation not found or error during instantiation : org.activiti.compatibility.DefaultActiviti5CompatibilityHandler. Activiti 5 backwards compatibility disabled.
2021-03-24 13:54:51,253 [main] INFO  o.a.engine.impl.ProcessEngineImpl 87 - ProcessEngine default created
2021-03-24 13:54:51,255 [main] INFO  o.a.e.i.a.DefaultAsyncJobExecutor 169 - Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2021-03-24 13:54:51,256 [Thread-4] INFO  o.a.e.i.a.AcquireAsyncJobsDueRunnable 45 - {} starting to acquire async jobs due
2021-03-24 13:54:51,257 [Thread-6] INFO  o.a.e.i.a.ResetExpiredJobsRunnable 51 - {} starting to reset expired jobs
2021-03-24 13:54:51,257 [Thread-5] INFO  o.a.e.i.a.AcquireTimerJobsRunnable 49 - {} starting to acquire async jobs due
2021-03-24 13:54:51,561 [main] WARN  o.m.spring.SqlSessionFactoryBean 44 - Property 'mapperLocations' was specified but matching resources are not found.
2021-03-24 13:54:51,584 [main] WARN  c.n.c.sources.URLConfigurationSource 121 - No URLs will be polled as dynamic configuration sources.
2021-03-24 13:54:51,585 [main] INFO  c.n.c.sources.URLConfigurationSource 122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-03-24 13:54:51,593 [main] WARN  c.n.c.sources.URLConfigurationSource 121 - No URLs will be polled as dynamic configuration sources.
2021-03-24 13:54:51,593 [main] INFO  c.n.c.sources.URLConfigurationSource 122 - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-03-24 13:54:51,671 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration 220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-03-24 13:54:52,213 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration 106 - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2021-03-24 13:54:55,669 [main] INFO  o.s.cloud.commons.util.InetUtils 170 - Cannot determine local hostname
2021-03-24 13:54:59,157 [main] INFO  o.s.cloud.commons.util.InetUtils 170 - Cannot determine local hostname
2021-03-24 13:54:59,293 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger 84 - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2021-03-24 13:54:59,483 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory 72 - Setting initial instance status as: STARTING
2021-03-24 13:54:59,541 [main] INFO  c.netflix.discovery.DiscoveryClient 368 - Initializing Eureka in region us-east-1
2021-03-24 13:54:59,643 [main] INFO  c.n.d.p.DiscoveryJerseyProvider 70 - Using JSON encoding codec LegacyJacksonJson
2021-03-24 13:54:59,644 [main] INFO  c.n.d.p.DiscoveryJerseyProvider 71 - Using JSON decoding codec LegacyJacksonJson
2021-03-24 13:54:59,915 [main] INFO  c.n.d.p.DiscoveryJerseyProvider 80 - Using XML encoding codec XStreamXml
2021-03-24 13:54:59,915 [main] INFO  c.n.d.p.DiscoveryJerseyProvider 81 - Using XML decoding codec XStreamXml
2021-03-24 13:55:00,372 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver 43 - Resolving eureka endpoints via configuration
2021-03-24 13:55:01,381 [main] INFO  c.netflix.discovery.DiscoveryClient 981 - Disable delta property : false
2021-03-24 13:55:01,382 [main] INFO  c.netflix.discovery.DiscoveryClient 982 - Single vip registry refresh property : null
2021-03-24 13:55:01,382 [main] INFO  c.netflix.discovery.DiscoveryClient 983 - Force full registry fetch : false
2021-03-24 13:55:01,383 [main] INFO  c.netflix.discovery.DiscoveryClient 984 - Application is null : false
2021-03-24 13:55:01,383 [main] INFO  c.netflix.discovery.DiscoveryClient 985 - Registered Applications size is zero : true
2021-03-24 13:55:01,383 [main] INFO  c.netflix.discovery.DiscoveryClient 987 - Application version is -1: true
2021-03-24 13:55:01,384 [main] INFO  c.netflix.discovery.DiscoveryClient 1070 - Getting all instance registry info from the eureka server
2021-03-24 13:55:01,575 [main] INFO  c.netflix.discovery.DiscoveryClient 1079 - The response status is 200
2021-03-24 13:55:01,578 [main] INFO  c.netflix.discovery.DiscoveryClient 1294 - Starting heartbeat executor: renew interval is: 30
2021-03-24 13:55:01,583 [main] INFO  c.n.discovery.InstanceInfoReplicator 60 - InstanceInfoReplicator onDemand update allowed rate per min is 4
2021-03-24 13:55:01,592 [main] INFO  c.netflix.discovery.DiscoveryClient 468 - Discovery Client initialized at timestamp 1616565301589 with initial instances count: 0
2021-03-24 13:55:01,598 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry 41 - Registering application CONN-ACTI with eureka with status UP
2021-03-24 13:55:01,599 [main] INFO  c.netflix.discovery.DiscoveryClient 1330 - Saw local status change event StatusChangeEvent [timestamp=1616565301599, current=UP, previous=STARTING]
2021-03-24 13:55:01,602 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient 847 - DiscoveryClient_CONN-ACTI/localhost:conn-acti:9501: registering service...
2021-03-24 13:55:01,624 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-9501"]
2021-03-24 13:55:01,735 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 9501 (http) with context path ''
2021-03-24 13:55:01,737 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration 145 - Updating port to 9501
2021-03-24 13:55:02,221 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient 856 - DiscoveryClient_CONN-ACTI/localhost:conn-acti:9501 - registration status: 204
2021-03-24 13:55:05,377 [main] INFO  o.s.cloud.commons.util.InetUtils 170 - Cannot determine local hostname
2021-03-24 13:55:05,380 [main] INFO  c.l.a.activiti.ActivitiApplication 61 - Started ActivitiApplication in 32.867 seconds (JVM running for 38.075)
2021-03-24 13:55:31,586 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient 981 - Disable delta property : false
2021-03-24 13:55:31,588 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient 982 - Single vip registry refresh property : null
2021-03-24 13:55:31,589 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient 983 - Force full registry fetch : false
2021-03-24 13:55:31,591 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient 984 - Application is null : false
2021-03-24 13:55:31,592 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient 985 - Registered Applications size is zero : true
2021-03-24 13:55:31,592 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient 987 - Application version is -1: false
